Date,City,State,Temperature_Max (°C),Temperature_Min (°C),Temperature_Avg (°C),Humidity (%),Rainfall (mm),Wind_Speed (km/h),AQI,AQI_Category,Pressure (hPa),Cloud_Cover (%)
2024-01-01,Pune,Maharashtra,29.5,16.5,22.2,55.0,0.0,10.1,100,Moderate,951.1208333333334,8.375
2024-01-02,Pune,Maharashtra,30.0,15.9,22.1,57.583333333333336,0.0,10.6,100,Moderate,950.1750000000001,4.541666666666667
2024-01-03,Pune,Maharashtra,29.8,16.5,22.5,59.916666666666664,0.0,7.6,100,Moderate,949.5666666666666,5.75
2024-01-04,Pune,Maharashtra,30.0,15.9,22.1,60.083333333333336,0.0,13.0,100,Moderate,949.5500000000001,10.541666666666666
2024-01-05,Pune,Maharashtra,29.5,13.9,21.3,59.375,0.0,13.2,100,Moderate,949.7708333333334,40.625
2024-01-06,Pune,Maharashtra,29.1,15.9,22.3,59.208333333333336,0.0,10.2,100,Moderate,950.1708333333332,39.541666666666664
2024-01-07,Pune,Maharashtra,29.5,17.2,22.9,62.375,0.8,13.0,100,Moderate,950.4958333333334,28.791666666666668
2024-01-08,Pune,Maharashtra,29.7,17.4,23.3,57.208333333333336,0.2,15.4,100,Moderate,951.025,22.25
2024-01-09,Pune,Maharashtra,28.1,18.0,22.4,71.95833333333333,1.0,16.3,100,Moderate,951.4458333333333,48.708333333333336
2024-01-10,Pune,Maharashtra,28.4,16.7,20.9,84.20833333333333,3.1,9.8,100,Moderate,951.725,52.375
2024-01-11,Pune,Maharashtra,28.6,16.9,22.5,73.16666666666667,0.0,10.4,100,Moderate,952.0083333333333,37.041666666666664
2024-01-12,Pune,Maharashtra,29.2,17.6,22.7,62.041666666666664,0.0,11.6,100,Moderate,951.6208333333334,28.833333333333332
2024-01-13,Pune,Maharashtra,29.7,17.7,23.2,50.791666666666664,0.0,11.2,100,Moderate,952.2583333333333,0.16666666666666666
2024-01-14,Pune,Maharashtra,29.9,16.7,23.2,50.625,0.0,14.5,100,Moderate,952.3874999999999,0.16666666666666666
2024-01-15,Pune,Maharashtra,28.4,14.1,21.1,48.666666666666664,0.0,13.4,100,Moderate,951.3125,16.75
2024-01-16,Pune,Maharashtra,29.5,12.1,20.1,57.708333333333336,0.0,13.2,100,Moderate,949.1166666666667,49.083333333333336
2024-01-17,Pune,Maharashtra,28.9,13.1,20.4,62.75,0.0,16.6,100,Moderate,948.3208333333333,3.9166666666666665
2024-01-18,Pune,Maharashtra,27.4,14.0,19.5,68.20833333333333,0.0,12.3,100,Moderate,949.7125,49.333333333333336
2024-01-19,Pune,Maharashtra,28.8,12.9,20.1,66.41666666666667,0.0,13.8,100,Moderate,949.7666666666668,18.75
2024-01-20,Pune,Maharashtra,28.8,15.7,21.3,61.5,0.0,17.3,100,Moderate,950.7208333333333,0.125
2024-01-21,Pune,Maharashtra,28.5,15.9,20.9,61.916666666666664,0.0,10.6,100,Moderate,951.2458333333334,39.375
2024-01-22,Pune,Maharashtra,29.9,13.7,21.3,60.916666666666664,0.0,16.1,100,Moderate,951.725,65.66666666666667
2024-01-23,Pune,Maharashtra,27.4,15.4,20.0,57.333333333333336,0.0,11.0,100,Moderate,951.3708333333334,66.04166666666667
2024-01-24,Pune,Maharashtra,27.0,14.1,19.8,44.833333333333336,0.0,10.5,100,Moderate,951.6625,52.25
2024-01-25,Pune,Maharashtra,27.4,13.5,19.7,46.25,0.0,10.9,100,Moderate,952.975,0.7916666666666666
2024-01-26,Pune,Maharashtra,29.9,13.0,21.2,42.833333333333336,0.0,11.3,100,Moderate,953.9208333333332,21.666666666666668
